name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Rafael Flores Jr.|PIT|5|1|2|2|0|0|2|2|3|0|0|1|0|0.667|0.8|2.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Joshua Kuroda-Grauer|ATH|26|0|4|1|0|2|0|12|25|0|1|3|0|0.48|0.5|0.6
Justin Dean|CHC|6|0|3|3|0|2|1|2|5|0|0|0|1|0.4|0.5|0.8
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Tyler Tolbert|KCR|50|2|15|5|9|10|4|16|44|1|0|1|0|0.364|0.408|0.523
Tommy Edman|LAD|59|1|6|9|1|11|7|17|49|0|1|3|1|0.347|0.439|0.51
Otto Lopez|MIA|386|9|59|43|17|51|17|124|359|6|4|25|5|0.345|0.376|0.518
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Samad Taylor|SDP|100|1|14|11|6|29|12|28|86|0|0|1|1|0.326|0.408|0.395
Luis Arraez|SFG|376|4|45|33|7|15|21|110|338|8|3|19|7|0.325|0.362|0.459
Nicky Lopez|TEX|112|1|13|11|4|16|3|34|105|0|2|2|0|0.324|0.355|0.371
Andrew Vaughn|MIL|159|2|18|24|0|19|19|44|137|1|2|14|2|0.321|0.409|0.496
Yandy Díaz|TBR|372|13|47|55|1|52|37|103|323|3|9|15|1|0.319|0.401|0.492
Donovan Walton|LAA|97|3|14|12|0|18|5|29|91|0|0|8|0|0.319|0.354|0.505
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Luis Urías|TOR|22|1|2|2|0|3|3|6|19|0|0|1|0|0.316|0.409|0.526
Yordan Alvarez|HOU|400|29|62|67|1|69|59|105|333|3|5|16|0|0.315|0.423|0.625
Jung Hoo Lee|SFG|331|5|46|33|6|30|14|98|311|3|3|20|3|0.315|0.347|0.447
Anthony Seigler|BOS|61|1|10|3|2|11|6|17|54|0|1|6|0|0.315|0.393|0.481
Victor Bericoto|SFG|52|4|7|8|1|13|1|16|51|0|0|3|0|0.314|0.327|0.608
José Azócar|ATL|17|0|2|0|1|4|1|5|16|0|0|2|0|0.313|0.353|0.438
Ben Malgeri|DET|20|0|2|4|0|4|3|5|16|1|0|1|0|0.313|0.4|0.375
Nick Gonzales|PIT|351|4|49|40|4|62|23|100|321|1|6|13|1|0.312|0.368|0.396
Esmerlyn Valdez|PIT|82|6|14|17|0|29|7|23|74|1|0|5|1|0.311|0.366|0.649
Troy Johnston|COL|304|3|32|39|4|51|27|83|268|3|5|23|0|0.31|0.38|0.429
Michael Harris II|ATL|328|16|43|53|5|67|15|96|310|2|1|15|0|0.31|0.341|0.513
Cole Carrigg|COL|97|4|21|21|2|19|11|25|81|3|1|5|3|0.309|0.385|0.593
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Blaze Alexander|BAL|228|3|25|28|9|52|15|63|205|1|3|12|2|0.307|0.362|0.429
Jake Mangum|PIT|234|1|31|15|17|41|13|65|212|1|5|9|0|0.307|0.359|0.363
Brandon Marsh|PHI|342|15|50|46|8|90|16|98|321|3|2|15|2|0.305|0.339|0.505
Jake McCarthy|COL|282|9|37|49|14|49|15|79|259|3|2|16|6|0.305|0.344|0.517
Xavier Edwards|MIA|386|6|49|35|13|46|49|100|331|5|0|13|5|0.302|0.387|0.426
Juan Soto|NYM|311|20|42|49|7|39|50|78|259|1|0|8|2|0.301|0.413|0.579
Alex Jackson|MIN|52|1|6|4|0|15|0|15|50|0|2|3|0|0.3|0.327|0.42
Josh Jung|TEX|359|9|41|34|1|64|29|96|323|2|5|22|0|0.297|0.362|0.449
TJ Rumfield|COL|360|12|42|47|0|51|34|94|317|2|7|20|2|0.297|0.375|0.486
Liam Hicks|MIA|323|13|49|56|1|30|31|83|280|6|5|8|1|0.296|0.37|0.471
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Jeremy Peña|HOU|202|6|34|21|8|35|15|54|183|1|3|9|0|0.295|0.356|0.443
Shohei Ohtani|LAD|386|19|61|55|6|87|59|93|316|4|5|15|2|0.294|0.409|0.535
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Connor Wong|BOS|119|1|13|14|2|26|11|30|102|1|3|8|0|0.294|0.376|0.402
Henry Bolte|ATH|185|3|17|15|11|49|15|47|160|2|7|6|0|0.294|0.375|0.388
Tristan Peters|CHW|261|5|35|31|5|47|18|69|235|1|3|19|2|0.294|0.35|0.455
Bobby Witt Jr.|KCR|377|12|48|36|30|62|39|98|334|3|1|20|1|0.293|0.366|0.467
Pete Crow-Armstrong|CHC|392|19|57|49|23|100|41|99|338|2|10|14|4|0.293|0.384|0.527
Ernie Clement|TOR|349|7|38|29|2|34|12|98|335|2|0|22|1|0.293|0.315|0.427
Trevor Larnach|MIN|270|6|41|30|2|47|33|68|233|0|3|16|1|0.292|0.387|0.446
Freddie Freeman|LAD|389|15|51|49|3|62|47|98|336|3|3|22|1|0.292|0.38|0.497
Jordan Walker|STL|374|21|55|69|11|95|31|98|337|3|3|18|0|0.291|0.353|0.531
Ryan O'Hearn|PIT|318|16|47|61|1|70|25|84|289|2|2|12|0|0.291|0.349|0.498
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Miguel Rojas|LAD|150|3|15|16|0|15|10|38|131|5|2|8|0|0.29|0.338|0.42
Riley Greene|DET|379|13|46|44|2|102|46|95|328|3|2|18|1|0.29|0.377|0.47
William Contreras|MIL|369|9|47|51|1|49|32|95|330|4|3|12|0|0.288|0.352|0.406
Kevin McGonigle|DET|391|7|56|32|11|52|58|95|330|0|3|18|3|0.288|0.399|0.424
Randy Arozarena|SEA|355|9|55|41|19|78|33|88|306|3|13|21|1|0.288|0.377|0.451
Ceddanne Rafaela|BOS|341|8|39|38|12|68|17|91|317|0|6|20|3|0.287|0.335|0.445
Sam Antonacci|CHW|284|5|46|25|12|43|20|70|244|1|17|12|2|0.287|0.379|0.414
Willson Contreras|BOS|359|20|45|59|2|89|35|88|307|3|14|15|2|0.287|0.382|0.544
