name|barrel_pct|hard_hit_pct|woba|xwoba
Vladimir Guerrero Jr.|6.8|43.2|.306|.332
Dominic Smith|5.5|32.4|.306|.298
Romy Gonzalez|4.4|37.8|.259|.289
Alex Jackson|2.3|34.1|.341|.226
Yohandy Morales|40|80|.637|.461
Ben Rortvedt|0|5.3|.165|.204
Yoán Moncada|7.7|40.9|.281|.269
Will Benson|12.7|37.9|.290|.300
Mauricio Dubón|3.7|29.5|.306|.304
Brett Harris|0|25|.240|.299
Heliot Ramos|13.8|50|.304|.326
Daniel Johnson|0|45.5|.230|.341
Dalton Rushing|12.2|44.6|.350|.341
Carlos Narváez|6.7|38.7|.223|.263
Kyler Fedko|0|44.4|.074|.166
Alec Bohm|5.7|42.6|.304|.321
Gage Workman|20.8|45.8|.245|.299
Orlando Arcia|2.5|25|.290|.245
Paul Goldschmidt|10.8|37.1|.334|.313
Willson Contreras|13.4|43.6|.390|.374
Brett Bateman|0|15.3|.345|.270
Lenyn Sosa|5.6|36.7|.214|.249
Marcus Semien|6.1|32.7|.281|.307
Luis Robert Jr.|9.5|39.9|.313|.317
Daulton Varsho|6.5|37.2|.290|.288
Weston Wilson|5.1|36.7|.290|.263
Tyrone Taylor|9.3|34|.365|.319
Jonah Bride|0|66.7|.265|.229
Ali Sánchez|2.1|25|.254|.246
Heston Kjerstad|0|0|.000|.051
Hyeseong Kim|3.4|25.3|.293|.304
Victor Bericoto|12.9|50|.289|.285
Andrés Chaparro|13.6|45.5|.374|.357
Javier Báez|2.3|34.4|.286|.266
Nolan Gorman|9.8|43.4|.257|.274
Tyler Freeman|1.3|36|.289|.309
Alek Thomas|7.1|40.2|.244|.282
Dominic Canzone|12.4|45|.351|.358
Juan Soto|14.7|49|.400|.422
Shohei Ohtani|15.8|51.7|.383|.401
Sal Frelick|2.3|28.3|.285|.284
Konnor Griffin|8.1|37|.325|.305
Reese McGuire|0|9.5|.221|.242
Travis d'Arnaud|12.2|31.7|.237|.257
Garrett Stubbs|0|26.8|.178|.221
Maverick Handley|||.000|.000
Max Clark|1.2|39|.332|.316
Jhostynxon Garcia|3.1|31.3|.175|.240
Amed Rosario|11|41.6|.305|.315
Abimelec Ortiz|8.5|36.6|.276|.294
Andrew Knizner|8.3|33.3|.293|.282
James McCann|9.2|42.9|.343|.292
Rece Hinds|0|23.5|.161|.155
Ethan Salas|0|50|.000|.249
Travis Bazzana|4.5|36.1|.309|.296
Gavin Sheets|6.9|38.7|.313|.317
Eli White|6.1|29.5|.298|.271
Christian Vázquez|2.2|22.7|.266|.238
Bryan Torres|4|28.2|.311|.297
Blaze Alexander|6.5|48.4|.346|.356
Alan Roden|5.1|40.7|.294|.342
Cam Cauley|0|20.5|.279|.235
Jackson Holliday|6.7|34.1|.300|.306
Liam Hicks|3.9|27.8|.356|.315
Jack Brannigan|||.000|.000
LaMonte Wade Jr.|4|36|.302|.281
Jonathan India|5.7|31.4|.291|.284
Dustin Harris|0|18.2|.325|.327
Héctor Rodríguez|9.1|34.5|.340|.277
James Outman|7|37.2|.247|.225
Jackson Merrill|11.7|47.1|.308|.336
Tyler O'Neill|8.8|42.8|.302|.307
Chase DeLauter|6.2|45.5|.358|.343
Marcelo Mayer|6.1|36|.267|.259
Davis Wendzel|0|50|.000|.229
Blake Dunn|2.9|30.3|.321|.280
Taylor Trammell|12.1|37.1|.294|.290
Carlos Correa|10.3|41.2|.347|.364
Garrett Mitchell|11.9|51.8|.339|.348
Byron Buxton|15.9|46.7|.355|.343
Jihwan Bae|0|0|.540|.361
Chuckie Robinson|0|14.3|.077|.149
Masyn Winn|3.6|35|.289|.299
Jorge Polanco|4|31|.196|.234
Myles Straw|3.2|26.5|.285|.301
Christopher Morel|2|39.2|.208|.218
Troy Johnston|2.4|37.3|.338|.329
Matt Wallner|10.4|40.3|.253|.281
Jeremiah Jackson|7.5|38.5|.266|.286
Grant McCray|11.1|25|.215|.297
Andy Pages|7.7|42.2|.346|.340
Zach Cole|16.7|50|.234|.289
Mike Trout|15.9|45.5|.350|.377
Freddie Freeman|8.3|41.8|.368|.375
Pedro Ramírez|4.3|41.8|.338|.304
Cole Young|4.8|37.2|.306|.315
Trevor Story|4.9|40.2|.262|.250
Spencer Jones|15.9|57.1|.328|.330
Connor Wong|4.8|36.3|.302|.288
Jac Caglianone|13.9|54.6|.357|.358
Adrian Del Castillo|6.5|36.8|.254|.260
Luis Matos|0|23.1|.203|.130
Danny Jansen|6.9|31.4|.267|.251
Jace Jung|0|20|.286|.392
Ramón Urías|10.9|37.5|.282|.313
Gabriel Rincones Jr.|9.4|35.7|.215|.205
Nick Solak|12.5|50|.232|.373
Nathan Church|6|30|.285|.283
Sung-Mun Song|4|28.3|.252|.256
Jakob Marsee|3.9|34.7|.303|.303
Nelson Velázquez|13.3|63.3|.291|.348
Mickey Moniak|9.7|41.3|.336|.283
Nick Sogard|5.2|29.9|.348|.324
Oswald Peraza|6.5|35.5|.277|.273
Francisco Lindor|9.2|48|.325|.338
Sam Huff|14.3|57.1|.147|.137
Jonny DeLuca|3.5|29.1|.312|.265
Donovan Walton|5|34.5|.370|.336
Rafael Flores Jr.|15.3|44.1|.331|.333
Brandon Marsh|8.2|43.3|.318|.306
José Tena|8.8|46.9|.307|.299
Miguel Rojas|5.1|36|.312|.313
JJ Wetherholt|7.6|44.8|.322|.351
Leo Jiménez|3.9|40|.267|.314
Edwin Arroyo|2.8|27.7|.243|.293
César Prieto|3.8|29.6|.057|.249
Aramis Garcia|7.7|30.8|.202|.259
Chad Stevens|6.3|25|.129|.210
Jose Trevino|2.9|31.4|.261|.223
Denzer Guzman|5.8|33.1|.268|.264
Colby Thomas|8.9|34.2|.250|.248
Nico Hoerner|1.4|28.3|.299|.322
Mike Yastrzemski|6.6|43.6|.303|.307
Adolis García|9.3|48|.268|.294
Walker Jenkins|6.3|25|.292|.262
Tyler Callihan|6.8|27.1|.294|.252
Michael Toglia|0|57.1|.172|.222
Austin Riley|11.7|44.9|.291|.298
Luisangel Acuña|3.2|36.1|.244|.265
Tsung-Che Cheng|7.7|23.1|.274|.303
Gunnar Henderson|7.1|43.6|.308|.317
Brian Serven|11.4|34.1|.330|.308
José Azócar|0|23.1|.377|.298
Michael Siani|0|0|.000|.292
Cody Bellinger|6.1|36.2|.339|.345
Pete Crow-Armstrong|13.1|48.6|.401|.368
Yandy Díaz|7.3|47.9|.365|.355
Luis Rengifo|4.1|34.3|.289|.304
Tommy Troy|10|31.1|.295|.317
Eric Haase|16.3|28.6|.264|.271
Oneil Cruz|17.2|56|.367|.356
George Valera|0|34.5|.235|.198
Drake Baldwin|12.9|51.7|.354|.368
James Wood|20.6|58.1|.394|.418
Kyle Higashioka|8.5|38.1|.303|.295
Endy Rodríguez|10.6|46.8|.370|.338
Daz Cameron|11.1|27.8|.239|.291
Corey Julks|0|33.3|.307|.188
Brenton Doyle|6.4|32.1|.254|.235
Noelvi Marte|5.1|30.2|.242|.237
Carson Benge|7.3|39.2|.334|.338
Miguel Vargas|13.7|45.6|.367|.387
Jordan Walker|13.5|48.9|.367|.352
Osleivis Basabe|7.7|36.7|.274|.286
Adley Rutschman|7.1|40.6|.324|.341
Jorge Barrosa|5|24.8|.281|.235
Zach Neto|11.6|41.1|.328|.306
Tommy White|8.1|32.3|.265|.298
Kyle Karros|7.9|41.2|.344|.338
Nathaniel Lowe|8.6|40.6|.333|.334
Ke'Bryan Hayes|7.9|41|.211|.309
Joshua Báez|15.4|48.7|.352|.311
