name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Daniel Susac|SFG|23|0|1|5|0|2|1|11|22|0|0.5|0.522|0.682
Weston Wilson|BAL|4|0|2|2|0|1|0|2|4|0|0.5|0.5|0.75
Dalton Rushing|LAD|22|5|8|9|0|6|0|10|21|0|0.476|0.5|1.286
Alex Call|LAD|17|0|4|1|0|1|4|5|12|0|0.417|0.588|0.583
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
MJ Melendez|NYM|12|0|1|1|0|5|2|4|10|0|0.4|0.5|0.6
Myles Straw|TOR|25|1|8|3|0|2|1|9|23|0|0.391|0.417|0.565
Andy Pages|LAD|79|5|11|21|3|21|5|28|72|1|0.389|0.43|0.653
Moisés Ballesteros|CHC|46|3|7|10|0|10|3|16|42|1|0.381|0.413|0.619
Ildemaro Vargas|ARI|56|2|11|8|0|7|2|20|53|0|0.377|0.4|0.623
Christian Vázquez|HOU|37|2|6|10|0|7|4|12|32|0|0.375|0.444|0.688
Jorge Mateo|ATL|20|1|7|3|1|7|1|7|19|0|0.368|0.4|0.579
Leody Taveras|BAL|48|1|7|9|1|10|9|14|38|0|0.368|0.489|0.526
José Tena|WSH|36|0|7|6|0|8|2|12|33|0|0.364|0.417|0.394
Dominic Smith|ATL|50|4|10|16|0|6|2|17|47|1|0.362|0.38|0.66
Juan Soto|NYM|34|1|3|5|0|6|3|11|31|0|0.355|0.412|0.516
Yandy Díaz|TBR|92|3|12|16|1|11|9|28|79|0|0.354|0.446|0.532
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Yordan Alvarez|HOU|99|9|18|20|1|11|19|26|76|1|0.342|0.485|0.789
Otto Lopez|MIA|84|3|15|10|3|15|5|26|76|1|0.342|0.393|0.566
Xavier Edwards|MIA|89|1|16|6|2|10|9|27|79|0|0.342|0.409|0.481
Joey Wiemer|WSH|47|2|10|5|0|16|6|14|41|0|0.341|0.426|0.561
Miguel Andujar|SDP|47|0|5|2|1|9|2|15|44|0|0.341|0.383|0.477
Carson Kelly|CHC|60|2|9|10|0|8|10|17|50|0|0.34|0.45|0.52
Ben Rice|NYY|79|7|19|17|1|20|16|21|62|1|0.339|0.468|0.774
CJ Abrams|WSH|87|6|12|19|4|12|10|24|71|1|0.338|0.448|0.634
Chandler Simpson|TBR|86|0|10|4|7|6|3|27|80|0|0.338|0.361|0.388
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Billy Cook|PIT|6|0|3|0|1|2|0|2|6|0|0.333|0.333|0.333
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Eloy Jiménez|TOR|13|0|1|0|0|3|1|4|12|0|0.333|0.385|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Felix Reyes|PHI|3|1|1|1|0|1|0|1|3|0|0.333|0.333|1.333
Connor Wong|BOS|27|0|1|2|1|5|1|8|24|0|0.333|0.385|0.5
Ryan O'Hearn|PIT|84|4|11|15|1|14|11|23|70|2|0.329|0.417|0.543
Nick Fortes|TBR|59|1|4|7|0|7|2|18|55|0|0.327|0.373|0.455
Nico Hoerner|CHC|92|3|13|20|6|9|9|26|80|1|0.325|0.402|0.525
Shea Langeliers|ATH|89|6|15|12|0|24|9|26|80|0|0.325|0.393|0.6
Adam Frazier|LAA|39|1|10|4|0|9|6|10|31|0|0.323|0.447|0.484
Miguel Rojas|LAD|35|0|3|1|0|6|3|10|31|1|0.323|0.371|0.387
Luis Arraez|SFG|86|0|10|6|2|4|5|25|78|2|0.321|0.353|0.385
Drake Baldwin|ATL|96|5|21|19|0|17|6|28|88|0|0.318|0.375|0.523
Luke Raley|SEA|72|5|11|13|0|25|4|21|66|0|0.318|0.375|0.636
Colt Keith|DET|66|0|10|5|0|15|3|20|63|0|0.317|0.348|0.429
Casey Schmitt|SFG|65|2|7|7|1|16|2|19|60|0|0.317|0.369|0.517
Mauricio Dubón|ATL|78|2|11|14|0|13|4|23|73|0|0.315|0.359|0.479
Vladimir Guerrero Jr.|TOR|86|1|7|8|1|10|12|23|73|0|0.315|0.419|0.411
Daniel Schneemann|CLE|54|2|8|11|1|15|3|16|51|0|0.314|0.352|0.549
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Liam Hicks|MIA|71|4|12|18|1|5|3|20|64|2|0.313|0.352|0.531
Javier Sanoja|MIA|51|0|1|7|2|6|3|15|48|0|0.313|0.353|0.375
Kevin McGonigle|DET|90|1|15|9|1|11|13|24|77|0|0.312|0.411|0.481
Jordan Walker|STL|85|8|16|16|3|25|8|24|77|0|0.312|0.376|0.662
Will Smith|LAD|70|2|9|10|0|11|8|19|61|1|0.311|0.386|0.426
Wilyer Abreu|BOS|79|3|10|10|0|18|5|23|74|0|0.311|0.354|0.514
Masataka Yoshida|BOS|38|0|3|5|1|6|8|9|29|0|0.31|0.474|0.414
Jorbit Vivas|WSH|54|0|10|2|0|6|5|13|42|1|0.31|0.423|0.357
Corbin Carroll|ARI|80|3|15|16|2|20|11|21|68|1|0.309|0.4|0.618
