name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
DaShawn Keirsey Jr.|ATL|1|0|3|0|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Vimael Machín|COL|6|0|0|0|0|2|0|3|6|0|0|0|0|0.5|0.5|0.5
Joshua Kuroda-Grauer|ATH|65|1|8|4|0|8|1|25|63|0|1|7|0|0.397|0.415|0.556
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Eduardo Valencia|DET|124|6|20|18|0|29|3|40|118|0|2|13|0|0.339|0.366|0.602
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Samad Taylor|SDP|164|2|26|18|12|41|18|47|141|1|1|4|2|0.333|0.41|0.433
Josue De Paula|LAD|42|1|7|7|1|5|11|10|31|0|0|3|1|0.323|0.5|0.581
Brett Bateman|TOR|172|2|27|11|3|34|17|48|150|1|2|6|1|0.32|0.394|0.413
Yordan Alvarez|HOU|673|41|101|102|1|115|107|174|551|5|10|33|1|0.316|0.432|0.603
Luis Arraez|PHI|652|6|67|64|10|28|34|185|593|14|5|33|7|0.312|0.347|0.422
Gabriel Moreno|ARI|535|15|69|78|6|78|59|143|461|10|5|33|1|0.31|0.387|0.484
Chandler Simpson|TBR|604|0|66|38|46|47|26|174|563|6|0|16|6|0.309|0.336|0.359
Bryan De La Cruz|PHI|76|2|10|12|0|16|4|21|68|2|2|4|0|0.309|0.355|0.456
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Andrew Vaughn|MIL|331|6|33|43|0|53|35|88|288|2|6|18|2|0.306|0.39|0.444
Michael Arroyo|SEA|29|1|4|3|1|6|5|7|23|1|0|2|0|0.304|0.414|0.522
Alex Jackson|MIN|73|1|12|5|0|24|2|21|69|0|2|4|0|0.304|0.342|0.406
Otto Lopez|MIA|674|11|93|71|34|89|38|187|616|11|9|32|9|0.304|0.347|0.438
Blaze Alexander|BAL|289|4|35|31|10|63|19|79|261|1|4|13|2|0.303|0.358|0.414
Nick Gonzales|PIT|596|6|70|60|7|98|41|163|541|1|13|27|1|0.301|0.364|0.388
Bo Davidson|SFG|11|0|2|0|1|2|1|3|10|0|0|0|0|0.3|0.364|0.3
Ty France|SDP|482|21|56|70|1|102|35|127|425|8|13|24|2|0.299|0.364|0.513
Jhonny Pereda|SEA|93|2|11|8|0|17|7|25|84|1|1|1|0|0.298|0.355|0.381
Leo Bernal|STL|86|4|10|18|0|19|5|24|81|0|0|3|0|0.296|0.337|0.481
TJ Rumfield|COL|621|15|63|70|0|86|71|159|538|2|10|29|3|0.296|0.386|0.444
Wade Meckler|LAA|321|3|40|27|8|60|31|84|285|0|3|14|0|0.295|0.37|0.375
Jake McCarthy|COL|580|15|78|83|32|92|29|157|533|5|8|30|13|0.295|0.337|0.484
Javier Sanoja|MIA|474|10|49|68|11|39|27|131|445|1|0|32|5|0.294|0.334|0.456
Josh Jung|TEX|439|11|52|40|1|80|34|116|395|3|7|26|1|0.294|0.358|0.448
Tyler Tolbert|KCR|144|3|32|8|22|29|12|37|126|1|1|5|0|0.294|0.357|0.405
Michael Stefanic|ATH|26|0|3|2|0|6|2|7|24|0|0|1|0|0.292|0.346|0.333
Yandy Díaz|TBR|673|22|88|85|3|98|55|175|602|6|10|25|1|0.291|0.357|0.445
Dustin Harris|SDP|134|0|19|18|10|18|10|34|117|2|3|4|3|0.291|0.356|0.376
Freddie Freeman|LAD|646|16|74|70|7|113|66|165|568|7|5|32|1|0.29|0.365|0.435
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Randal Grichuk|CHW|269|14|40|43|0|60|10|74|255|3|1|25|2|0.29|0.316|0.569
