name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Matt Brash|SEA|6.3|1|0|3|0.0|0.63|4|0|0|1|0|22
Huascar Brazobán|NYM|9.0|1|0|0|0.0|0.89|7|0|0|0|0|35
Gavin Collyer|TEX|1.7|1|0|0|0.0|1.2|3|0|0|1|0|7
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|1|0|3
Dylan Dodd|ATL|3.0|0|1|0|0.0|0.33|2|0|0|0|0|10
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|2|0|14
Ryan Fernandez|STL|1.7|0|0|0|0.0|2.4|2|0|0|0|0|9
Kyle Finnegan|DET|9.0|1|0|2|0.0|1.33|3|0|0|8|0|36
Cameron Foster|BAL|1.7|0|0|0|0.0|1.8|3|0|0|1|0|8
Rico Garcia|BAL|10.0|2|1|4|0.0|0.3|10|0|0|3|0|33
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|1|0|9
Tanner Gordon|COL|4.0|0|0|0|0.0|0.75|4|0|0|1|0|14
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|3
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|1
Tim Herrin|CLE|4.0|0|0|0|0.0|1.75|3|0|0|3|0|19
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|3
Raisel Iglesias|ATL|7.7|0|4|0|0.0|0.52|10|0|0|0|0|26
Alek Jacob|SDP|2.0|1|0|0|0.0|1.0|3|0|0|1|1|9
Craig Kimbrel|NYM|3.0|0|0|0|0.0|1.33|2|0|0|1|0|11
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|2|0|13
Christian Koss|SFG|1.0|0|0|0|0.0|0.0|0|0|0|0|0|3
Joel Kuhnel|ATH|6.0|0|3|1|0.0|0.33|3|0|0|0|0|20
Riley Martin|CHC|5.3|0|0|0|0.0|0.56|5|0|0|0|0|18
Easton McGee|MIL|1.0|0|0|0|0.0|1.0|0|0|0|0|0|3
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|3
Mason Miller|SDP|10.3|1|7|0|0.0|0.39|25|0|0|2|0|35
Riley O'Brien|STL|11.0|2|6|1|0.0|0.36|12|0|0|0|1|37
Daniel Palencia|CHC|5.0|1|1|0|0.0|1.0|5|0|0|2|0|19
Orlando Ribalta|WSH|2.0|0|1|0|0.0|0.5|1|0|0|0|0|6
Ethan Roberts|CHC|2.7|0|0|0|0.0|0.38|2|0|0|0|2|10
Ryan Rolison|CHC|1.0|0|0|0|0.0|1.0|0|0|0|0|0|3
JoJo Romero|STL|11.3|0|0|5|0.0|0.88|6|0|0|3|1|43
Tyler Samaniego|BOS|3.7|0|0|0|0.0|0.82|4|0|0|3|0|14
Tony Santillan|CIN|10.0|1|1|7|0.0|0.9|12|0|0|6|0|37
Jesse Scholtens|TBR|9.7|1|0|0|0.0|0.83|7|0|0|3|1|36
Antonio Senzatela|COL|12.3|0|1|1|0.0|0.57|15|0|0|3|0|43
Justin Slaten|BOS|3.3|0|0|2|0.0|1.2|5|0|0|2|0|14
Ryan Thompson|ARI|8.7|1|0|4|0.0|0.69|5|0|0|3|0|32
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0|0|0|2
Blake Treinen|LAD|6.7|1|0|4|0.0|0.9|6|0|0|3|0|26
Walbert Urena|LAA|1.7|0|0|1|0.0|4.8|2|0|0|3|0|15
Louis Varland|TOR|11.0|1|0|2|0.0|1.0|16|0|0|3|0|41
Alex Vesia|LAD|8.3|0|2|3|0.0|0.6|10|0|0|3|0|30
Brandon Young|BAL|5.0|1|0|0|0.0|0.8|2|0|0|2|0|18
José Soriano|LAA|32.7|5|0|0|0.28|0.73|39|1|4|13|0|120
Shohei Ohtani|LAD|18.0|2|0|0|0.5|0.72|18|0|3|6|1|69
Tyler Phillips|MIA|12.0|0|1|0|0.75|1.25|15|0|0|8|1|53
Bryce Elder|ATL|23.3|2|0|0|0.77|1.03|23|1|2|7|1|91
Gregory Soto|PIT|11.7|0|1|5|0.77|0.69|16|1|0|6|1|44
Dennis Santana|PIT|11.0|2|2|2|0.82|0.82|7|0|0|5|1|42
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1|6|0|43
Braydon Fisher|TOR|10.7|0|0|3|0.84|0.75|12|1|0|1|1|37
Bradgley Rodriguez|SDP|10.7|0|0|2|0.84|1.13|10|0|0|2|0|43
