name|stuff_plus|location_plus|pitching_plus
Antwone Kelly|113|136|143
Ty Blach|110|130|142
Duncan Davitt|104|138|140
Adrian Morejon|129|108|135
Josh Hader|123|118|133
Tyler Rogers|137|100|126
Jacob Misiorowski|125|100|125
Yennier Cano|109|113|123
Gavin Hollowell|100|119|122
Grant Taylor|110|112|122
Louis Varland|114|109|121
Mason Miller|123|103|121
Tanner Scott|121|107|121
Tarik Skubal|117|105|120
José Alvarado|123|93|120
Bryan Baker|118|105|120
Jacob deGrom|109|110|119
Jhoan Duran|120|97|119
Chris Sale|116|107|119
Bryce Miller|111|110|119
Michael Rucker|104|117|118
Logan VanWey|108|116|117
Kervin Castro|96|125|117
Eduardo Rivera|102|114|117
Tim Hill|124|98|117
Hunter Harvey|105|113|117
Cade Smith|114|105|117
Kyle Harrison|106|115|117
Jonathan Bowlan|111|104|116
Jared Jones|103|110|116
Jonathan Loáisiga|106|111|116
James Karinchak|100|114|116
Drew Rasmussen|107|111|116
Cristopher Sánchez|119|98|116
Aaron Ashby|121|93|116
Chase Burns|113|101|115
Dylan Lee|113|105|115
Ryan Thompson|123|97|115
Gabe Speier|111|110|115
Will Warren|106|107|114
Zack Wheeler|106|108|114
Elvis Alvarado|111|101|114
Steven Okert|113|102|114
Tim Mayza|99|112|113
Hunter Brown|107|103|113
Kenley Jansen|117|97|113
Bryan Woo|110|108|113
José A. Ferrer|125|93|113
Cam Booser|116|107|113
Cam Schlittler|110|105|113
Mason Montgomery|109|103|113
Alec Gamboa|109|107|113
Cade Horton|99|116|113
Robby Ahlstrom|112|106|112
Aroldis Chapman|117|100|112
Grant Wolfram|109|104|112
George Kirby|102|112|112
Camilo Doval|98|113|112
Paul Skenes|100|112|112
Reid Detmers|105|110|112
Joe Ryan|107|108|111
Robert Suarez|109|103|111
Jesús Luzardo|109|102|111
Orion Kerkering|112|104|111
Tyron Guerrero|114|101|111
Jordan Wicks|97|115|111
Shohei Ohtani|113|98|111
Logan Gilbert|107|105|111
Hunter Stratton|108|111|111
Griffin Jax|106|102|111
Didier Fuentes|114|99|111
Janson Junk|101|111|111
Will Vest|105|109|110
Justin Slaten|109|100|110
Mick Abel|110|102|110
Graham Ashcraft|111|101|110
Beau Brieske|96|112|110
Grant Anderson|102|108|110
Casey Legumina|112|100|110
Yoshinobu Yamamoto|103|107|110
Pete Fairbanks|122|94|110
Jeremiah Estrada|112|96|110
Mason Fluharty|106|101|110
Will Dion|102|105|110
Bubba Chandler|105|103|110
Jake Bennett|93|119|110
JoJo Romero|109|99|110
Cooper Criswell|101|112|110
